pole_id,lon,lat,weather_risk_score,forest_distance,forest_area,pole_slope,pole_height,spatial_risk_score,train_fire_count_3km,train_fire_area_3km,train_fire_proxy_3km,valid_fire_count_3km,valid_fire_area_3km,valid_fire_proxy_3km
0,127.6183915665442,37.73219161824542,28.54500165543968,21.8772146508022,5519781.0,10.0739196483622,130.827499389648,30,0,0.0,0,0,0.0,0
1,127.61785810600551,37.73200241667946,28.54460069448409,24.3277983071708,5508632.0,10.3150094839715,130.827499389648,30,0,0.0,0,0,0.0,0
2,127.61734916901744,37.731836370695085,28.54425434555003,27.8141343342585,5485784.0,10.5730856545269,116.030815124512,30,0,0.0,0,0,0.0,0
3,127.61680370009844,37.73166556920084,28.543901012290128,20.0228331542978,5583727.0,10.7825300109883,116.030815124512,30,0,0.0,0,0,0.0,0
4,127.61628574539913,37.73150908971134,28.543579600838655,39.4401193862557,5650122.0,10.9600067052645,127.79761505127,25,0,0.0,0,0,0.0,0
5,127.61573687476856,37.73135121411882,28.54325837043929,22.3293648889415,5640473.0,11.1441680512477,127.79761505127,30,0,0.0,0,0,0.0,0
6,127.61520819159382,37.7312068345036,28.54296747041533,13.2757545412097,5626224.0,11.5176449503217,122.82926940918,30,0,0.0,0,0,0.0,0
7,127.61466750734236,37.73106343293267,28.54267998167196,0.0,5570978.0,11.7325004120262,122.82926940918,30,0,0.0,0,0,0.0,0
8,127.61411318544032,37.73092963021276,28.5424166043289,0.0,5570978.0,12.3172018011821,145.962020874023,30,0,0.0,0,0,0.0,0
9,127.61355199510656,37.730803253006094,28.542171045118923,0.0,5570978.0,12.7253280776612,145.962020874023,30,0,0.0,0,0,0.0,0
10,127.61301396343929,37.73069265231226,28.541959993129904,14.9545140957925,5558479.0,12.8657458266433,135.151626586914,30,0,0.0,0,0,0.0,0
11,127.6124549999505,37.73058326893853,28.541752833453582,18.2917987198472,5829985.0,13.1453804771105,116.542579650879,30,0,0.0,0,0,0.0,0
12,127.61190382085395,37.73048227178048,28.541563681617287,23.945467257523,5945577.0,13.6946622071807,116.542579650879,30,0,0.0,0,0,0.0,0
13,127.6113694724894,37.73039203142284,28.54139720566923,51.7130731068673,5916379.0,14.2139043613356,107.751174926758,21,0,0.0,0,0,0.0,0
14,127.610808744492,37.730307029624726,28.541243854329075,28.6807655786518,5908905.0,14.622207754666,107.751174926758,30,0,0.0,0,0,0.0,0
15,127.61023642968844,37.73022847418813,28.541104861285973,0.267276807629969,5915630.0,14.9298789476611,123.095779418945,30,0,0.0,0,0,0.0,0
16,127.6096975970876,37.73015960802695,28.540984235232145,0.0,5964276.0,15.1152870168491,123.095779418945,30,0,0.0,0,0,0.0,0
17,127.60913735061357,37.73009707124284,28.540878047287,28.9961621493253,5958026.0,15.2029362855498,157.603408813477,30,0,0.0,0,0,0.0,0
18,127.60857172926448,37.73004236357029,28.540788309924523,49.7318312154057,5729817.0,15.3100110977254,157.603408813477,25,0,0.0,0,0,0.0,0
19,127.60799043477816,37.729989354474085,28.54070130899095,2.44506634827121,5708569.0,15.0756081738034,194.998565673828,30,0,0.0,0,0,0.0,0
20,127.6074381754046,37.72993946880168,28.54061770357794,0.0,7932567.0,15.6063618875564,216.277526855469,30,0,0.0,0,0,0.0,0
21,127.60688682128324,37.72988967266775,28.540532292978433,0.0,7850247.0,15.5405481092784,185.907363891602,30,0,0.0,0,0,0.0,0
22,127.60631154200136,37.72983772176062,28.540441129572784,0.0,7887944.0,16.0230915136635,131.770904541016,30,1,0.0,1,0,0.0,0
23,127.60573060937196,37.72978324969708,28.54034243947564,11.6213333094493,7849922.0,16.0305162171523,131.770904541016,30,1,0.0,1,0,0.0,0
24,127.60518584991632,37.72972842746158,28.540239646394237,37.2056360125826,8286742.0,16.5114922425182,109.157196044922,25,1,0.0,1,0,0.0,0
25,127.60463221360544,37.72969552570122,28.54018434498012,10.4333621676778,8295516.0,16.1910312312345,109.157196044922,30,1,0.0,1,0,0.0,0
26,127.60407762705356,37.72964361879921,28.54008466430563,31.6229509917693,8324264.0,16.3853067454604,106.618354797363,25,1,0.0,1,0,0.0,0
27,127.60352349348436,37.72959189285742,28.53998357907013,37.4483126813612,8213171.0,16.0385841401582,106.618354797363,25,1,0.0,1,0,0.0,0
28,127.6029796783927,37.729530973153096,28.539860261201337,33.7042573603457,8213446.0,16.202935701793,95.9466247558594,25,1,0.0,1,0,0.0,0
29,127.6024336727909,37.72946024707263,28.53971394300588,18.1842680230943,8213446.0,16.3158207292459,95.9466247558594,30,1,0.0,1,0,0.0,0
30,127.60187686250757,37.72937917561664,28.539543809831063,0.0,8213446.0,16.4712827832428,124.384178161621,30,1,0.0,1,0,0.0,0
31,127.60132276003148,37.72928762401608,28.53934964824852,0.0,8213471.0,16.2208861240777,124.384178161621,30,1,0.0,1,0,0.0,0
32,127.60078302474804,37.729187462719175,28.53913578461688,0.0,8184573.0,15.6334826747576,186.152099609375,30,1,0.0,1,0,0.0,0
33,127.6002262849753,37.729072579851454,28.538889483329825,0.0,8136027.0,15.4830152183137,184.636245727539,30,1,0.0,1,0,0.0,0
34,127.59969979366144,37.72895311022594,28.53863281093844,0.0,8339138.0,15.4371862958387,184.636245727539,30,1,0.0,1,0,0.0,0
35,127.59916897269603,37.728821580140334,28.53835004927708,0.0,8334013.0,15.2157721647194,183.015182495117,30,1,0.0,1,0,0.0,0
36,127.59862155412512,37.72867387375218,28.53803267201323,0.0,6116415.0,15.6157235411025,183.015182495117,30,1,0.0,1,0,0.0,0
37,127.59810879593655,37.72852394054672,28.53771096250103,0.0,6122290.0,15.5711761324029,144.809204101562,30,1,0.0,1,0,0.0,0
38,127.59758378401288,37.728359329037815,28.537358477023645,0.0,6078093.0,15.7716189501237,171.610992431641,30,1,0.0,1,0,0.0,0
39,127.59707072756488,37.72818713722422,28.536990720936437,0.0,6084318.0,15.5232432453903,118.999794006348,30,1,0.0,1,0,0.0,0
40,127.59655005691116,37.728008811778544,28.53661077233143,0.0,6115916.0,15.8503968727957,118.999794006348,30,1,0.0,1,0,0.0,0
41,127.59603325337385,37.72783755953651,28.53624648105828,19.2462344931675,6130290.0,15.9818402958899,86.2478942871094,30,1,0.0,1,0,0.0,0
42,127.59552836465124,37.7276725327046,28.535896029767564,10.1267948024886,6580461.0,15.9160952808881,86.2478942871094,30,1,0.0,1,0,0.0,0
43,127.59499030590248,37.7274845054652,28.53549810174624,10.3232905427116,6580461.0,16.7530873293678,83.9280700683594,30,1,0.0,1,0,0.0,0
44,127.594456359971,37.72730012580878,28.535108732320836,9.41961912079464,6580461.0,16.6755019302169,83.9280700683594,30,1,0.0,1,0,0.0,0
45,127.59395565692878,37.72712789128376,28.534745805944333,9.68500018027152,6299256.0,16.6105796553425,78.3631820678711,30,1,0.0,1,0,0.0,0
46,127.59344536231704,37.72695428634566,28.53438069351064,9.49876781963295,6299256.0,16.0614409790826,78.3631820678711,30,1,0.0,1,0,0.0,0
47,127.59291369413287,37.72677344545571,28.53400120905377,8.49423757001101,6338653.0,15.7808412743242,84.7300338745117,30,1,0.0,1,0,0.0,0
48,127.59238030068371,37.7265818924289,28.533600827292855,12.9908608427197,6329879.0,15.1771863774986,84.7300338745117,30,1,0.0,1,0,0.0,0
49,127.5918738973858,37.72640839655767,28.533238572376167,45.1560365621204,5905258.0,14.4038036192201,77.1530227661133,25,1,0.0,1,0,0.0,0
50,127.5913527687632,37.72623000400617,28.53286692699495,72.4416342467302,5951205.0,14.0236647813296,77.1530227661133,21,1,0.0,1,0,0.0,0
