trial,method,weight_weather_risk_score,weight_spatial_risk_score,train_accuracy,train_precision,train_recall,train_f1,train_positive_rate,train_selected_count,train_proxy_total,train_captured_proxy_count,train_top_rate,train_threshold,valid_accuracy,valid_precision,valid_recall,valid_f1,valid_positive_rate,valid_selected_count,valid_proxy_total,valid_captured_proxy_count,valid_top_rate,valid_threshold
195,optuna,0.5942309911575069,0.4057690088424931,0.5841,0.454,0.35075972186453774,0.39575766380938543,0.3,3000,3883,1362,0.3,0.5220512477566375,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5220512477566375
219,optuna,0.5945091007247827,0.40549089927521725,0.5841,0.454,0.35075972186453774,0.39575766380938543,0.3,3000,3883,1362,0.3,0.5219203782985283,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5219203782985283
93,optuna,0.5923085055761175,0.40769149442388253,0.5839,0.45366666666666666,0.3505021890291012,0.39546709283742554,0.3,3000,3883,1361,0.3,0.5223639816516088,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5223639816516088
135,optuna,0.592311913578076,0.407688086421924,0.5839,0.45366666666666666,0.3505021890291012,0.39546709283742554,0.3,3000,3883,1361,0.3,0.5223628636802732,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5223628636802732
172,optuna,0.5989961337638096,0.4010038662361904,0.5839,0.45366666666666666,0.3505021890291012,0.39546709283742554,0.3,3000,3883,1361,0.3,0.521577725035109,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.521577725035109
173,optuna,0.5987283232382392,0.4012716767617608,0.5839,0.45366666666666666,0.3505021890291012,0.39546709283742554,0.3,3000,3883,1361,0.3,0.5216550135589726,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5216550135589726
191,optuna,0.591831336298896,0.408168663701104,0.5839,0.45366666666666666,0.3505021890291012,0.39546709283742554,0.3,3000,3883,1361,0.3,0.5223660247060538,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5223660247060538
203,optuna,0.5991483664020508,0.4008516335979493,0.5839,0.45366666666666666,0.3505021890291012,0.39546709283742554,0.3,3000,3883,1361,0.3,0.521533791601692,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.521533791601692
204,optuna,0.598682454039919,0.40131754596008107,0.5839,0.45366666666666666,0.3505021890291012,0.39546709283742554,0.3,3000,3883,1361,0.3,0.5216682511366274,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5216682511366274
230,optuna,0.5919919413537218,0.40800805864627804,0.5839,0.45366666666666666,0.3505021890291012,0.39546709283742554,0.3,3000,3883,1361,0.3,0.5224098609019578,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5224098609019578
231,optuna,0.5914338769201098,0.40856612307989015,0.5839,0.45366666666666666,0.3505021890291012,0.39546709283742554,0.3,3000,3883,1361,0.3,0.5223219536650804,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5223219536650804
279,optuna,0.5932976782782075,0.4067023217217925,0.5839,0.45366666666666666,0.3505021890291012,0.39546709283742554,0.3,3000,3883,1361,0.3,0.5222744562070026,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5222744562070026
121,optuna,0.5900045511553256,0.4099954488446744,0.5837,0.4533333333333333,0.3502446561936647,0.39517652186546565,0.3,3000,3883,1360,0.3,0.5223327350291751,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5223327350291751
184,optuna,0.5893788952718143,0.4106211047281857,0.5837,0.4533333333333333,0.3502446561936647,0.39517652186546565,0.3,3000,3883,1360,0.3,0.5222514772497632,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5222514772497632
188,optuna,0.5898665368193333,0.41013346318066657,0.5837,0.4533333333333333,0.3502446561936647,0.39517652186546565,0.3,3000,3883,1360,0.3,0.5222880550052645,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5222880550052645
196,optuna,0.5893135566403982,0.41068644335960175,0.5837,0.4533333333333333,0.3502446561936647,0.39517652186546565,0.3,3000,3883,1360,0.3,0.5222678429389344,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5222678429389344
209,optuna,0.5996909459939325,0.4003090540060676,0.5837,0.4533333333333333,0.3502446561936647,0.39517652186546565,0.3,3000,3883,1360,0.3,0.5214083201509212,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5214083201509212
213,optuna,0.5902661272687921,0.40973387273120787,0.5837,0.4533333333333333,0.3502446561936647,0.39517652186546565,0.3,3000,3883,1360,0.3,0.5223592130264075,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5223592130264075
223,optuna,0.5893946040333551,0.41060539596664486,0.5837,0.4533333333333333,0.3502446561936647,0.39517652186546565,0.3,3000,3883,1360,0.3,0.522246295486597,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.522246295486597
241,optuna,0.5912747651708239,0.4087252348291761,0.5837,0.4533333333333333,0.3502446561936647,0.39517652186546565,0.3,3000,3883,1360,0.3,0.5222979490417465,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5222979490417465
